idx,shopify_id,titulo_shopify,url_resuelta,score,sospechoso
102,15509680587139,CALIBRA DOG VERVE CRUNCHY SNACK INSECTOS Y CORDERO FRES 150G,https://www.mycalibra.es/calibra-dog-verve-crunchy-snack-insect-fresh-lamb-150g,0.69,
103,15509680619907,CALIBRA DOG VERVE CRUNCHY SNACK INSECTOS Y SALMÓN FRESC 150G,https://www.mycalibra.es/calibra-dog-verve-crunchy-snack-fresh-salmon-150g,0.73,
104,15509680718211,CALIBRA DOG VERVE CRUNCHY SNACK PATO FRESCO 150G,https://www.mycalibra.es/calibra-dog-verve-crunchy-snack-fresh-duck-150g,0.82,
105,15509680783747,CALIBRA DOG VERVE CRUNCHY SNACK SALMÓN FRESCO 150G,https://www.mycalibra.es/calibra-dog-verve-crunchy-snack-fresh-salmon-150g,0.80,
106,15509680816515,CALIBRA DOG VERVE SNACK SEMIHÚMEDO PATO FRESCO 150G,https://www.mycalibra.es/calibra-dog-verve-crunchy-snack-fresh-duck-150g,0.67,
107,15509680849283,CALIBRA DOG VERVE SNACK SEMIHÚMEDO POLLO FRESCO 150G,https://www.mycalibra.es/calibra-dog-verve-semi-moist-snack-fresh-chicken-150g,0.62,
108,15509680947587,CALIBRA DOG6 PREMIUM CON POLLO Y VACUNO LATA 12X1240G,https://www.mycalibra.es/calibra-cat-premium-adult-duck-chicken-100g,0.20,REVISAR
109,15509681013123,CALIBRA EAZZY ARENA GATO FINE 10KG,https://www.mycalibra.es/calibra-eazzy-cat-fine-10kg,0.86,
110,15509681045891,CALIBRA EAZZY ARENA GATO ULTRA FINE 10KG,https://www.mycalibra.es/calibra-eazzy-cat-ultra-fine-10kg,0.88,
111,15509681078659,CALIBRA JOY CAT CLASSIC STICKS SALMON 70GR,https://www.mycalibra.es/calibra-cat-premium-kitten-salmon-100g,0.33,REVISAR
112,15509681176963,CALIBRA JOY CAT CLASSIC STRIPS PESCADO 70GR,https://www.mycalibra.es/calibra-cat-verve,0.30,REVISAR
113,15509681209731,CALIBRA JOY DOG CHEWY HUESO S TRIPA Y CALABAZA +40UDS 900G,https://www.mycalibra.es/calibra-joy-dog-classic-dental-brushes-85g-new,0.29,REVISAR
114,15509681242499,CALIBRA JOY DOG CHEWY HUESO S VACUNO Y YUCCA +40UDS 1KG,https://www.mycalibra.es/calibra-joy-dog-classic-dental-brushes-85g-new,0.29,REVISAR
115,15509681308035,CALIBRA JOY DOG CHEWY HUESO VACUNO Y CALABAZA 30UDS 720GR,https://www.mycalibra.es/calibra-joy-dog-classic-dental-brushes-85g-new,0.29,REVISAR
116,15509681373571,CALIBRA JOY DOG CHEWY HUESO VACUNO Y YUCCA 30UDS 850GR,https://www.mycalibra.es/calibra-joy-dog-classic-dental-brushes-85g-new,0.29,REVISAR
117,15509681406339,CALIBRA JOY DOG CHEWY STICKS VACUNO Y ARANDANO 50UDS 700GR,https://www.mycalibra.es/calibra-joy-dog-classic-salmon-sticks-80g-new,0.38,REVISAR
118,15509681439107,CALIBRA JOY DOG CHEWY STICKS VACUNO Y SPIRULINA 50UDS 700GR,https://www.mycalibra.es/calibra-joy-dog-classic-salmon-sticks-80g-new,0.38,REVISAR
119,15509681504643,CALIBRA JOY DOG CLASSIC AROS POLLO 80GR,https://www.mycalibra.es/calibra-joy-dog-classic-chicken-bits-new,0.64,
120,15509681537411,CALIBRA JOY DOG CLASSIC BACALAO POLLO SUSHI 80GR,https://www.mycalibra.es/calibra-joy-dog-classic-cod-chicken-sushi-80g-new,0.67,
121,15509681701251,CALIBRA JOY DOG CLASSIC DENTAL BRUSHES 85GR,https://www.mycalibra.es/calibra-joy-dog-classic-dental-brushes-85g-new,0.78,
